Date,Bitcoin_Price,Gold_Price,Bitcoin_Normalized,Gold_Normalized
2015-05-01,235.97,113.08,100.0,100.0
2015-05-08,228.99,113.97,97.04199686400814,100.78705341351255
2015-05-15,237.1,117.53,100.47887443319065,103.93526706756279
2015-05-22,234.11,115.6,99.21176420731449,102.22851078882206
2015-05-29,236.44,114.1,100.19917786159257,100.90201627166608
2015-06-05,225.4,112.24,95.52061702758824,99.25716307039264
2015-06-12,229.03,113.23,97.05894817137772,100.13264945171561
2015-06-19,247.45,115.12,104.8650252150697,101.80403254333217
2015-06-26,242.08,112.56,102.58931220070349,99.54014856738593
2015-07-03,257.78,111.76,109.24270034326395,98.83268482490273
2015-07-10,269.0,111.49,113.9975420604314,98.59391581181464
2015-07-17,285.66,108.65,121.05776157986186,96.0824195259993
2015-07-24,276.59,105.35,117.21405263380937,93.1641315882561
2015-07-31,290.2,104.93,122.98173496630926,92.79271312345243
2015-08-07,277.08,104.65,117.42170614908673,92.54510081358332
2015-08-14,267.53,106.85,113.3745815145993,94.49062610541209
2015-08-21,235.31,111.13,99.72030342840192,98.2755571276972
2015-08-28,225.04,108.7,95.36805526126201,96.1266360099045
2015-09-04,227.24,107.49,96.30037716658897,95.05659709939866
2015-09-11,238.3,106.16,100.9874136542781,93.88043862752033
2015-09-18,232.17,109.21,98.38962579988981,96.57764414573752
2015-09-25,229.42,109.81,97.22422341823112,97.10824195259993
2015-10-02,238.03,108.99,100.87299232953342,96.38309161655465
2015-10-09,243.01,110.87,102.98343009704622,98.04563141139018
2015-10-16,254.5,112.49,107.85269313895833,99.47824548991863
2015-10-23,267.97,111.5,113.56104589566472,98.60275910859568
2015-10-30,314.81,109.3,133.4110268254439,96.65723381676689
2015-11-06,408.0,104.1,172.90333516972495,92.0587194906261
2015-11-13,340.81,103.56,144.4293766156715,91.58118146444994
2015-11-20,333.66,103.09,141.3993304233589,91.16554651574107
2015-11-27,356.33,101.25,151.00648387506885,89.53837990802973
2015-12-04,359.08,104.02,152.17188625672756,91.98797311637779
2015-12-11,415.15,103.11,175.93338136203752,91.18323310930315
2015-12-18,455.47,102.04,193.0202991905751,90.23700035373187
2015-12-25,456.0,103.05,193.24490401322203,91.1301733286169
2016-01-01,428.23,101.46,181.4764588718905,89.72408914043154
2016-01-08,458.66,105.68,194.37216595329915,93.45596038203043
2016-01-15,432.63,104.08,183.3411026825444,92.04103289706403
2016-01-22,409.62,105.0,173.589863118193,92.85461620091971
2016-01-29,394.36,106.9492,167.12293935669788,94.57835160948001
2016-02-05,388.0,112.32,164.4276814849345,99.32790944464097
2016-02-12,379.14,118.36,160.67296690257237,104.66926070038912
2016-02-19,420.53,117.58,178.21333220324615,103.97948355146798
2016-02-26,423.79,117.11,179.59486375386703,103.56384860275911
2016-03-04,420.06,120.54,178.0141543416536,106.59709939865583
2016-03-11,412.84,119.41,174.95444336144425,105.5978068623983
2016-03-18,418.49,119.8,177.34881552739756,105.94269543685886
2016-03-25,417.96,116.33,177.1242107047506,102.874071453838
2016-04-01,414.83,116.93,175.79777090308087,103.4046692607004
2016-04-08,421.6,118.43,178.66677967538246,104.73116377785638
2016-04-15,424.38,117.92,179.84489553756833,104.28015564202336
2016-04-22,441.82,117.89,187.2356655507056,104.25362575168022
2016-04-29,449.98,123.65,190.6937322541001,109.34736469755926
2016-05-06,446.84,123.18,189.36305462558798,108.93172974885037
2016-05-13,454.26,121.71,192.50752214264523,107.63176512203749
2016-05-20,452.99,119.71,191.96931813366106,105.86310576582949
2016-05-27,452.05,115.62,191.57096241047591,102.24619738238417
2016-06-03,538.37,118.88,228.15188371403144,105.12911213300318
2016-06-10,574.32,121.74,243.3868712124423,107.65829501238062
2016-06-17,693.88,123.95,294.0543289401195,109.61266360099044
2016-06-24,622.08,126.01,263.62673221172184,111.43438273788469
2016-07-01,635.99,128.41,269.52154934949357,113.55677396533427
2016-07-08,638.5,130.52,270.5852438869348,115.42270958613372
2016-07-15,652.87,126.84,276.6750010594567,112.168376370711
2016-07-22,664.0,126.35,281.3917023350426,111.73505482844004
2016-07-29,655.37,128.98,277.73445777005554,114.06084188185355
2016-08-05,577.44,127.55,244.7090731872696,112.79625044216483
2016-08-12,591.5,127.4,250.66745772767723,112.66360099044925
2016-08-19,570.3,127.97,241.68326482179938,113.16766890696852
2016-08-26,578.75,126.05,245.26422850362331,111.46975592500885
2016-09-02,571.0,126.57,241.97991270076704,111.92960735762291
2016-09-09,615.33,126.75,260.76619909310506,112.08878669968165
2016-09-16,606.72,125.06,257.1174301818028,110.5942695436859
2016-09-23,595.46,127.65,252.3456371572658,112.88468340997524
2016-09-30,604.13,125.64,256.0198330296224,111.1071807569862
2016-10-07,608.0,119.74,257.65987201762937,105.88963565617262
