Date,Bitcoin_Price,Gold_Price,Bitcoin_Weekly_Return,Gold_Weekly_Return
2015-05-01,235.97,113.08,,
2015-05-08,228.99,113.97,-2.95800313599186,0.78705341351255065
2015-05-15,237.1,117.53,3.5416393728983753,3.123629025182062
2015-05-22,234.11,115.6,-1.2610712779417832,-1.6421339232536414
2015-05-29,236.44,114.1,0.99525863910125967,-1.2975778546712835
2015-06-05,225.4,112.24,-4.6692607003890991,-1.6301489921121792
2015-06-12,229.03,113.23,1.6104702750665556,0.88203848895225256
2015-06-19,247.45,115.12,8.0426145046500466,1.6691689481586058
2015-06-26,242.08,112.56,-2.1701353808850188,-2.2237665045170329
2015-07-03,257.78,111.76,6.4854593522802206,-0.71073205401562811
2015-07-10,269.0,111.49,4.3525486849251394,-0.24158911954188511
2015-07-17,285.66,108.65,6.193308550185872,-2.5473136604179603
2015-07-24,276.59,105.35,-3.1751032696212489,-3.03727565577544
2015-07-31,290.2,104.93,4.9206406594598517,-0.39867109634550424
2015-08-07,277.08,104.65,-4.5210199862164018,-0.26684456304203463
2015-08-14,267.53,106.85,-3.4466580049083317,2.1022455805064455
2015-08-21,235.31,111.13,-12.043509139161957,4.0056153486195623
2015-08-28,225.04,108.7,-4.3644553992605584,-2.1866282731935471
2015-09-04,227.24,107.49,0.97760398151440775,-1.1131554737810578
2015-09-11,238.3,106.16,4.8671008625241985,-1.2373244022699792
2015-09-18,232.17,109.21,-2.5723877465379852,2.8730218538055796
2015-09-25,229.42,109.81,-1.1844768919326398,0.54940023807343863
2015-10-02,238.03,108.99,3.7529422020748049,-0.74674437665058768
2015-10-09,243.01,110.87,2.0921732554719963,1.7249288925589523
2015-10-16,254.5,112.49,4.728200485576739,1.4611707405068897
2015-10-23,267.97,111.5,5.2927308447937138,-0.88007822917591794
2015-10-30,314.81,109.3,17.4795686084263,-1.9730941704035887
2015-11-06,408.0,104.1,29.601982147962257,-4.7575480329368762
2015-11-13,340.81,103.56,-16.468137254901961,-0.51873198847260937
2015-11-20,333.66,103.09,-2.0979431354713696,-0.4538431826960232
2015-11-27,356.33,101.25,6.7943415452855982,-1.784848190901156
2015-12-04,359.08,104.02,0.77175651783458754,2.7358024691358063
2015-12-11,415.15,103.11,15.61490475660019,-0.87483176312247446
2015-12-18,455.47,102.04,9.7121522341322439,-1.0377266996411505
2015-12-25,456.0,103.05,0.11636331701319058,0.98980791846334792
2016-01-01,428.23,101.46,-6.0899122807017481,-1.5429403202328995
2016-01-08,458.66,105.68,7.1059944422389831,4.1592745909718287
2016-01-15,432.63,104.08,-5.675227837613928,-1.5140045420136361
2016-01-22,409.62,105.0,-5.3186325497538327,0.88393543428131327
2016-01-29,394.36,106.9492,-3.7254040330061966,1.8563809523809649
2016-02-05,388.0,112.32,-1.6127396287656026,5.0218234451496535
2016-02-12,379.14,118.36,-2.283505154639176,5.3774928774928732
2016-02-19,420.53,117.58,10.916811731814114,-0.65900642108820406
2016-02-26,423.79,117.11,0.77521223218319779,-0.399727844871578
2016-03-04,420.06,120.54,-0.88015290592038387,2.9288702928870425
2016-03-11,412.84,119.41,-1.7188020758939215,-0.93744814999171533
2016-03-18,418.49,119.8,1.3685689371184973,0.32660581190855353
2016-03-25,417.96,116.33,-0.126645797988012,-2.8964941569282088
2016-04-01,414.83,116.93,-0.74887549047755186,0.51577409094816229
2016-04-08,421.6,118.43,1.6319938287973512,1.2828187804669433
2016-04-15,424.38,117.92,0.65939278937381385,-0.43063412986574789
2016-04-22,441.82,117.89,4.1095244827748623,-0.025440976933510662
2016-04-29,449.98,123.65,1.8469059798107867,4.8859105946221115
2016-05-06,446.84,123.18,-0.69780879150185271,-0.38010513546300473
2016-05-13,454.26,121.71,1.6605496374541229,-1.1933755479785813
2016-05-20,452.99,119.71,-0.27957557346013351,-1.6432503491906947
2016-05-27,452.05,115.62,-0.20751009956069266,-3.41659009272407
2016-06-03,538.37,118.88,19.095232828226962,2.8195813873032272
2016-06-10,574.32,121.74,6.677563757267313,2.4057873485868075
2016-06-17,693.88,123.95,20.817662627106827,1.8153441761130429
2016-06-24,622.08,126.01,-10.347610537845153,1.6619604679306121
2016-07-01,635.99,128.41,2.2360468106995768,1.9046107451789362
2016-07-08,638.5,130.52,0.39466029340082809,1.6431742076162381
2016-07-15,652.87,126.84,2.2505873140172383,-2.8194912657064086
2016-07-22,664.0,126.35,1.7047804310199588,-0.386313465783672
2016-07-29,655.37,128.98,-1.299698795180726,2.0815195884448023
2016-08-05,577.44,127.55,-11.890992874254225,-1.1086990231043536
2016-08-12,591.5,127.4,2.4348850096979735,-0.11760094080751626
2016-08-19,570.3,127.97,-3.5841081994928192,0.44740973312400456
2016-08-26,578.75,126.05,1.4816763107136754,-1.5003516449167753
2016-09-02,571.0,126.57,-1.3390928725701912,0.4125347084490194
2016-09-09,615.33,126.75,7.7635726795096449,0.14221379473808859
2016-09-16,606.72,125.06,-1.3992491833650256,-1.3333333333333308
2016-09-23,595.46,127.65,-1.8558808016877593,2.0710059171597628
2016-09-30,604.13,125.64,1.4560171967890279,-1.5746180963572276
2016-10-07,608.0,119.74,0.6405906013606355,-4.6959567016873649
2016-10-14,634.02,119.36,4.2796052631578929,-0.31735426757975027
2016-10-21,627.72,120.83,-0.99365950600927011,1.2315683646112685
2016-10-28,685.0,121.58,9.12508761868349,0.62070677811800756
2016-11-04,741.12,124.39,8.1927007299270151,2.3112354005593083
2016-11-11,714.48,117.1,-3.5945595854922296,-5.8605997266661376
2016-11-18,739.42,115.15,3.4906505430522872,-1.6652433817250123
