"Date","Bitcoin_Price","Gold_Price","Bitcoin_Weekly_Return","Gold_Weekly_Return","Bitcoin_Cumulative_Return","Gold_Cumulative_Return"
2015-11-06,408,104.1,29.6019821479623,-4.75754803293688,72.9033351697249,-7.94128050937393
2015-11-13,340.81,103.56,-16.468137254902,-0.518731988472609,44.4293766156715,-8.41881853555007
2015-11-20,333.66,103.09,-2.09794313547137,-0.453843182696023,41.3993304233589,-8.83445348425896
2015-11-27,356.33,101.25,6.7943415452856,-1.78484819090116,51.0064838750688,-10.4616200919703
2015-12-04,359.08,104.02,0.771756517834588,2.73580246913581,52.1718862567275,-8.01202688362224
2015-12-11,415.15,103.11,15.6149047566002,-0.874831763122474,75.9333813620375,-8.81676689069687
2015-12-18,455.47,102.04,9.71215223413224,-1.03772669964115,93.020299190575,-9.76299964626813
2015-12-25,456,103.05,0.116363317013191,0.989807918463348,93.2449040132219,-8.86982667138309
2016-01-01,428.23,101.46,-6.08991228070175,-1.5429403202329,81.4764588718904,-10.2759108595685
2016-01-08,458.66,105.68,7.10599444223898,4.15927459097183,94.3721659532991,-6.54403961796957
2016-01-15,432.63,104.08,-5.67522783761393,-1.51400454201364,83.3411026825443,-7.95896710293597
2016-01-22,409.62,105,-5.31863254975383,0.883935434281313,73.5898631181929,-7.14538379908031
2016-01-29,394.36,106.9492,-3.7254040330062,1.85638095238096,67.1229393566978,-5.42164839051999
2016-02-05,388,112.32,-1.6127396287656,5.02182344514965,64.4276814849344,-0.672090555359034
2016-02-12,379.14,118.36,-2.28350515463918,5.37749287749287,60.6729669025723,4.66926070038909
2016-02-19,420.53,117.58,10.9168117318141,-0.659006421088204,78.2133322032461,3.97948355146798
2016-02-26,423.79,117.11,0.775212232183198,-0.399727844871578,79.5948637538669,3.56384860275909
2016-03-04,420.06,120.54,-0.880152905920384,2.92887029288704,78.0141543416535,6.59709939865583
2016-03-11,412.84,119.41,-1.71880207589392,-0.937448149991715,74.9544433614442,5.5978068623983
2016-03-18,418.49,119.8,1.3685689371185,0.326605811908554,77.3488155273975,5.94269543685886
2016-03-25,417.96,116.33,-0.126645797988012,-2.89649415692821,77.1242107047505,2.874071453838
2016-04-01,414.83,116.93,-0.748875490477552,0.515774090948162,75.7977709030808,3.40466926070037
2016-04-08,421.6,118.43,1.63199382879735,1.28281878046694,78.6667796753824,4.73116377785638
2016-04-15,424.38,117.92,0.659392789373814,-0.430634129865748,79.8448955375682,4.28015564202333
2016-04-22,441.82,117.89,4.10952448277486,-0.0254409769335107,87.2356655507055,4.25362575168022
2016-04-29,449.98,123.65,1.84690597981079,4.88591059462211,90.6937322541,9.34736469755926
2016-05-06,446.84,123.18,-0.697808791501853,-0.380105135463005,89.3630546255879,8.93172974885037
2016-05-13,454.26,121.71,1.66054963745412,-1.19337554797858,92.5075221426451,7.63176512203746
2016-05-20,452.99,119.71,-0.279575573460134,-1.64325034919069,91.9693181336609,5.86310576582949
2016-05-27,452.05,115.62,-0.207510099560693,-3.41659009272407,91.5709624104758,2.24619738238417
2016-06-03,538.37,118.88,19.095232828227,2.81958138730323,128.151883714031,5.12911213300318
2016-06-10,574.32,121.74,6.67756375726731,2.40578734858681,143.386871212442,7.65829501238061
2016-06-17,693.88,123.95,20.8176626271068,1.81534417611304,194.054328940119,9.61266360099044
2016-06-24,622.08,126.01,-10.3476105378452,1.66196046793061,163.626732211722,11.4343827378847
2016-07-01,635.99,128.41,2.23604681069958,1.90461074517894,169.521549349493,13.5567739653343
2016-07-08,638.5,130.52,0.394660293400828,1.64317420761624,170.585243886935,15.4227095861337
2016-07-15,652.87,126.84,2.25058731401724,-2.81949126570641,176.675001059457,12.168376370711
2016-07-22,664,126.35,1.70478043101996,-0.386313465783672,181.391702335042,11.73505482844
2016-07-29,655.37,128.98,-1.29969879518073,2.0815195884448,177.734457770055,14.0608418818535
2016-08-05,577.44,127.55,-11.8909928742542,-1.10869902310435,144.709073187269,12.7962504421648
2016-08-12,591.5,127.4,2.43488500969797,-0.117600940807516,150.667457727677,12.6636009904492
2016-08-19,570.3,127.97,-3.58410819949282,0.447409733124005,141.683264821799,13.1676689069685
2016-08-26,578.75,126.05,1.48167631071368,-1.50035164491678,145.264228503623,11.4697559250088
2016-09-02,571,126.57,-1.33909287257019,0.412534708449019,141.979912700767,11.9296073576229
2016-09-09,615.33,126.75,7.76357267950964,0.142213794738089,160.766199093105,12.0887866996816
2016-09-16,606.72,125.06,-1.39924918336503,-1.33333333333333,157.117430181803,10.5942695436859
2016-09-23,595.46,127.65,-1.85588080168776,2.07100591715976,152.345637157266,12.8846834099752
2016-09-30,604.13,125.64,1.45601719678903,-1.57461809635723,156.019833029622,11.1071807569862
2016-10-07,608,119.74,0.640590601360636,-4.69595670168736,157.659872017629,5.8896356561726
2016-10-14,634.02,119.36,4.27960526315789,-0.31735426757975,168.686697461542,5.55359037849308
2016-10-21,627.72,120.83,-0.99365950600927,1.23156836461127,166.016866550833,6.85355500530595
2016-10-28,685,121.58,9.12508761868349,0.620706778118008,190.291138704072,7.51680226388396
2016-11-04,741.12,124.39,8.19270072992702,2.31123540055931,214.073822943594,10.0017686593562
2016-11-11,714.48,117.1,-3.59455958549223,-5.86059972666614,202.784252235454,3.55500530597806
2016-11-18,739.42,115.15,3.49065054305229,-1.66524338172501,213.353392380387,1.83056243367525
2016-11-25,735.64,112.61,-0.511211490086816,-2.20581849761181,211.751493833962,-0.415634948708899
2016-12-02,742.05,112.14,0.871350116905001,-0.417369682976643,214.467940839937,-0.831269897417769
2016-12-09,767.28,110.4,3.40004042854256,-1.55163188871054,225.1599779633,-2.37000353731872
2016-12-16,777.09,108.05,1.27854238348453,-2.12862318840581,229.31728609569,-4.44817828086312
2016-12-23,860.18,107.93,10.6924551853711,-0.111059694585836,264.529389329152,-4.5542978422356
2016-12-30,975.89,109.61,13.4518356623032,1.55656443991474,313.565283722507,-3.0686239830209
2017-01-06,999.65,111.75,2.43470063224338,1.95237660797372,323.634360300038,-1.17615847187835
2017-01-13,780.92,114.21,-21.8806582303806,2.20134228187918,230.940373776327,0.999292536257457
2017-01-20,903.1,115.05,15.6456487220202,0.735487260309964,282.718142136712,1.74212946586482
2017-01-27,893.14,113.49,-1.10286789945743,-1.35593220338983,278.497266601687,0.362575168022587
2017-02-03,1008.67,116.13,12.9352621089639,2.32619614062912,327.456880111878,2.69720551821713
2017-02-10,1050.7,117.6,4.16687320927558,1.26582278481013,345.268466330466,3.99717014503003
2017-02-17,1035.2,117.68,-1.47520700485391,0.0680272108843694,338.699834724753,4.06791651927836
2017-02-24,1130.01,119.7,9.15861669242657,1.71651937457511,378.878671017502,5.85426246904841
2017-03-03,1257.6,117.51,11.2910505216768,-1.82957393483709,432.949103699623,3.91758047400066
2017-03-10,1155.11,114.72,-8.14965012722646,-2.37426601991321,389.515616391914,1.45030067209051
2017-03-17,1170.2,116.99,1.30636909038968,1.97873082287308,395.910497097088,3.45772904138657
2017-03-24,1030.2,118.86,-11.9637668774568,1.59842721600136,336.580921303555,5.11142553944104
2017-03-31,1034.74,118.72,0.440691127936321,-0.117785630153122,338.504894690003,4.98761938450647
2017-04-07,1133.53,119.46,9.54732589829328,0.623315363881405,380.370386066025,5.64202334630343
2017-04-14,1174.43,122.6,3.60819740103924,2.62849489368826,397.703097851422,8.41881853554997
2017-04-21,1205,122.31,2.60296484251934,-0.236541598694939,410.658134508624,8.16236292889982
2017-04-28,1330.33,120.77,10.4008298755187,-1.25909574033195,463.770818324363,6.80049522461968
2017-05-05,1501,117.01,12.8291476550931,-3.11335596588556,536.097809043522,3.47541563494866
2017-05-12,1829,116.83,21.8520986009327,-0.153833005726012,675.098529474085,3.31623629288993
2017-05-19,1783.98,119.4,-2.4614543466375,2.19977745442097,656.019833029622,5.58896356561722
2017-05-26,2277.01,120.54,27.6365205887958,0.954773869346726,864.957409840233,6.59709939865576
2017-06-02,2298.01,121.61,0.922262089318893,0.88767214202754,873.856846209263,7.54333215422704
2017-06-09,2809.01,120.54,22.2366308240608,-0.879861853465991,1090.40979785566,6.59709939865579
2017-06-16,2445,119.34,-12.9586580325453,-0.995520159283225,936.148662965631,5.53590378493098
2017-06-23,2713.48,119.43,10.9807770961145,0.075414781297134,1049.92583803026,5.61549345596033
2017-06-30,2558.3,118.02,-5.71885549184073,-1.18060788746547,984.163241089969,4.36858860983369
2017-07-07,2599.67,115.28,1.61708947347847,-2.32164039993221,1001.69513073696,1.94552529182874
2017-07-14,2388,116.77,-8.14218727761601,1.29250520471893,911.993049963978,3.26317651220369
2017-07-21,2840,119.26,18.92797319933,2.13239701978249,1103.54282324024,5.46515741068265
2017-07-28,2516.93,120.69,-11.3757042253521,1.19906087539827,966.631351442979,6.72974885037134
2017-08-04,2790,119.65,10.8493283484245,-0.8617118236805,1082.35368902827,5.81004598514319
2017-08-11,3340.28,122.79,19.7232974910394,2.62432093606353,1315.55282451159,8.58684117438975
2017-08-18,4279.79,122.3,28.1266839905637,-0.399055297662687,1713.70089418146,8.15351963211879
2017-08-25,4133.67,122.74,-3.41418621007106,0.359771054783309,1651.77776836038,8.54262469048453
2017-09-01,4732.87,126.06,14.4955935040775,2.70490467655207,1905.7083527567,11.4785992217898
2017-09-08,4612.12,127.97,-2.55130607855276,1.51515151515151,1854.53659363478,13.1676689069684
2017-09-15,3216.43,125.53,-30.2613548650078,-1.90669688208174,1263.06733906852,11.0099044923947
2017-09-22,3894.48,123.24,21.0808256358758,-1.82426511590855,1550.41318811713,8.98478952953654
2017-09-29,4189.38,121.58,7.57225611634931,-1.3469652710159,1675.38670169937,7.51680226388392
2017-10-06,4211.55,121.09,0.52919525084858,-0.403026813620655,1684.78196380896,7.08348072161296
2017-10-13,5435.75,123.82,29.0676829195902,2.25452143034106,2203.57672585498,9.49770074283684
2017-10-20,5571.92,121.61,2.50508209538702,-1.78484897431755,2261.28321396788,7.54333215422702
2017-10-27,5889.82,120.9,5.70539419087137,-0.583833566318559,2396.00372928762,6.91545808277318
2017-11-03,6751.98,120.62,14.6381383471821,-0.231596360628616,2761.37220833157,6.66784577290407
2017-11-10,7092.42,121.13,5.04207654643527,0.422815453490299,2905.64478535407,7.11885390873709
2017-11-17,7279.78,122.86,2.6416935263281,1.42821761743581,2985.04470907319,8.64874425185702
2017-11-24,8043.31,122.32,10.4883664066771,-0.439524662217161,3308.61550197059,8.17120622568086
2017-12-01,9646.35,121.59,19.9301034027036,-0.596795291039887,3987.95609611391,7.52564556066496
2017-12-08,16860.88,118.48,74.7902574548923,-2.55777613290566,7045.34898504047,4.77538026176151
2017-12-15,16252.31,119.18,-3.60936084000362,0.590817015530054,6787.44755689282,5.39441103643432
2017-12-22,15521.07,120.94,-4.49929886889925,1.47675784527606,6477.56070686951,6.95083126989738
2017-12-29,15422.19,123.65,-0.637069480390196,2.24078055234,6435.65707505191,9.34736469755919
2018-01-05,15169.66,125.33,-1.63744578428875,1.35867367569753,6328.6392338009,10.8330385567739
2018-01-12,14882.86,126.96,-1.89061587405386,1.30056650442831,6207.09835996101,12.2744959320834
2018-01-19,11174.82,126.42,-24.9148349174823,-0.425330812854441,4635.69521549349,11.7969579059073
2018-01-26,11392.03,128.07,1.94374495517602,1.30517323208352,4727.74505233716,13.2561018747789
2018-02-02,9098.27,126.39,-20.1347784372057,-1.3117826188803,3755.68928253591,11.7704280155641
2018-02-09,7585.17,124.77,-16.6306341755081,-1.28174697365299,3114.46370301309,10.3378139370357
2018-02-16,10033.77,127.96,32.2814122821242,2.55670433597819,4152.13798364199,13.1588256101874
2018-02-23,10485.78,126.14,4.50488699661244,-1.42231947483588,4343.69199474509,11.5493455960381
2018-03-02,10931.12,125.39,4.24708510001164,-0.594577453622958,4532.41937534432,10.8860983374602
2018-03-09,9920.46,125.54,-9.24571315656586,0.119626764494773,4104.1191676908,11.0187477891757
2018-03-16,8263.34,124.6,-16.7040641260587,-0.748765333758172,3401.86040598381,10.187477891758
2018-03-23,8909.26,127.61,7.81669397604359,2.41573033707865,3675.5901173878,12.849310222851
2018-03-30,7099.17,125.79,-20.3169511272541,-1.42622051563357,2908.50531847269,11.2398302087017
2018-04-06,6810.71,126.39,-4.0632919059552,0.476985451943701,2786.26096537695,11.7704280155641
2018-04-13,7941.46,127.45,16.6025274897918,0.838673945723545,3265.45323558079,12.7078174743543
2018-04-20,8175.96,126.63,2.95285753501244,-0.643389564535113,3364.83027503496,11.9826671383091
2018-04-27,9294.67,125.5,13.682919192364,-0.892363578930744,3838.92020172055,10.9833746020515
2018-05-04,9220.76,124.54,-0.795186918954627,-0.764940239043821,3807.59842352841,10.1344181110717
2018-05-11,9015.88,125,-2.22194265982415,0.369359242010603,3720.77382718142,10.5412097629995
2018-05-18,8343.27,122.41,-7.4602811927399,-2.07200000000001,3435.73335593507,8.25079589671019
2018-05-25,7576.78,123.21,-9.18692551002186,0.65354137733844,3110.90816629232,8.95825963919337
2018-06-01,7386.72,122.49,-2.50845345912115,-0.584368151935721,3030.36402932576,8.32154227095849
2018-06-08,7687.37,123.01,4.07014209283687,0.424524450975605,3157.77429334237,8.78139370357258
2018-06-15,6299.89,121.34,-18.0488255411148,-1.35761320217869,2569.78429461372,7.30456314113891
2018-06-22,6719.79,120.34,6.66519574151294,-0.824130542277901,2747.73064372589,6.4202334630349
2018-06-29,6143.97,118.65,-8.56901778180568,-1.40435432940003,2503.70809848709,4.92571630703918
2018-07-06,6555.51,118.86,6.69827489392039,0.176991150442474,2678.11162435903,5.111425539441
2018-07-13,6403.18,117.61,-2.32369411380655,-1.05165741208144,2613.55680806882,4.00601344181099
2018-07-20,7473.9,116.56,16.7216914095809,-0.892781226086214,3067.30940373776,3.07746727980181
2018-07-27,8171.65,115.83,9.33582199387202,-0.626286890871652,3363.00377166589,2.4319066147859
2018-08-03,7535.88,114.92,-7.78019127104073,-0.785634118967449,3093.57545450693,1.62716660771127
2018-08-10,6277.59,114.69,-16.6973200210194,-0.200139227288554,2560.33394075518,1.42377078174734
2018-08-17,6312.75,112.13,0.560087549521393,-2.23210393233935,2575.23413993304,-0.840113194198892
2018-08-24,6354.57,114.16,0.662468813116313,1.81039864443058,2592.95673178794,0.95507605235224
2018-08-31,6986.54,113.51,9.94512610609373,-0.569376313945336,2860.77467474679,0.380261761584634
2018-09-07,6695.32,113.23,-4.16830076117792,-0.246674301823624,2737.36068144255,0.132649451715523
2018-09-14,6479.6,113.02,-3.22195205008871,-0.185463216462078,2645.94228079841,-0.0530597806863256
2018-09-21,6389.3,113.49,-1.39360454349035,0.415855600778614,2607.67470441158,0.362575168022545
2018-09-28,6686.08,112.76,4.64495328126711,-0.643228478280011,2733.44492944018,-0.282985496993362
2018-10-05,6483.73,113.8,-3.02643701541113,0.922312876906695,2647.69250328431,0.636717368234784
2018-10-12,6207.79,115.23,-4.25588357319012,1.25659050966609,2530.75390939526,1.9013088079235
2018-10-19,6595.51,116.01,6.24570096604429,0.676907055454312,2695.06293172861,2.59108595684464
2018-10-26,6466.29,116.77,-1.95921164549823,0.655115938281181,2640.30173327118,3.26317651220367
2018-11-02,6338.78,116.65,-1.97191898290984,-0.102766121435294,2586.2652032038,3.15705695083119
2018-11-09,6444.97,114.48,1.67524350111536,-1.86026575225032,2631.26668644319,1.23806154934552
2018-11-16,5756.77,115.62,-10.6780947002081,0.995807127882609,2339.61944314955,2.24619738238407
2018-11-23,4312.31,115.77,-25.0915009632137,0.129735339906589,1727.48230707293,2.37884683409968
2018-11-30,4256.55,115.54,-1.29304247607431,-0.198669776280547,1703.85218459974,2.17545100813577
2018-12-07,3484.94,118.09,-18.1275915941314,2.20702786913622,1376.85722761368,4.43049168730096
2018-12-14,3487.73,117.06,0.08005876715238,-0.872216106359558,1378.03958130271,3.51963211885385
2018-12-21,4135.19,118.72,18.5639370020042,1.41807620023919,1652.42191804043,4.98761938450647
2018-12-28,3848.21,121.06,-6.93994713664909,1.9710242587601,1530.80476331737,7.05695083126983
2019-01-04,3822.87,121.44,-0.658487972329991,0.313893936890786,1520.06611009874,7.39299610894932
2019-01-11,4016.92,121.8,5.07602926597033,0.296442687747045,1602.30113997542,7.71135479306677
2019-01-18,3658.41,121.02,-8.92499726158351,-0.640394088669949,1450.37080984871,7.02157764414567
2019-01-25,3566.4,122.86,-2.51502701993488,1.52040984961164,1411.37856507183,8.64874425185702
2019-02-01,3444.81,124.5,-3.40932032301481,1.3348526778447,1359.85082849515,10.0990449239476
2019-02-08,3405.7,124.21,-1.13533112131003,-0.232931726907637,1343.27668771454,9.8425893172974
2019-02-15,3600.31,124.8,5.71424376780105,0.475002012720394,1425.74903589439,10.3643438273788
2019-02-22,3987.18,125.5,10.7454635850802,0.560897435897445,1589.69784294614,10.9833746020516
2019-03-01,3850.08,121.88,-3.43852045806811,-2.88446215139443,1531.5972369369,7.78210116731508
2019-03-08,3876.85,122.84,0.695310227319945,0.787659993436174,1542.94189939399,8.63105765829492
2019-03-15,3885.21,122.97,0.215638985258648,0.105828720286549,1546.48472263423,8.74602051644845
2019-03-22,4056.4,123.97,4.40619683363319,0.813206473123529,1619.0320803492,9.63035019455245
2019-03-29,4037.37,122.01,-0.469135193767878,-1.58102766798418,1610.96749586812,7.89706402546864
2019-04-05,4959.81,121.98,22.8475467940763,-0.0245881485124166,2001.88159511802,7.87053413512551
2019-04-12,5035.02,121.83,1.51638873263291,-0.122970978848991,2033.75429079968,7.7378846834099
2019-04-19,5220.37,120.37,3.68121675782815,-1.19839120085364,2112.30241132347,6.44676335337809
2019-04-26,5195.61,121.37,-0.474295883241993,0.830771786990114,2101.8095520617,7.33109303148207
2019-05-03,5326.67,120.65,2.52251419948766,-0.593227321413858,2157.35051065813,6.6943756632472
2019-05-10,6146.91,121.43,15.3987387992873,0.646498135101536,2504.95401957876,7.38415281216834
2019-05-17,8206.9,120.65,33.5126104009982,-0.64234538417195,3377.94211128533,6.6943756632472
2019-05-24,7880.29,121.3,-3.97970000852941,0.538748445917947,3239.53044878586,7.26918995401479
2019-05-31,8662.98,123.33,9.93224868627931,1.67353668590273,3571.22091791329,9.06437920056592
2019-06-07,7803.23,126.59,-9.92441400072492,2.64331468418066,3206.87375513836,11.947293951185
2019-06-14,8173.06,126.56,4.73944763899052,-0.0236985543881851,3363.60130525067,11.9207640608419
2019-06-21,9531.35,131.98,16.6191120583967,4.28255372945638,3939.22108742637,16.7138309161655
2019-06-28,12932.55,133.2,35.6843469183274,0.924382482194264,5380.59075306183,17.7927131234524
2019-07-05,11160.49,132.14,-13.7023247542055,-0.795795795795795,4629.62240962834,16.8553236646621
2019-07-12,12099.9,133.53,8.41728275371423,1.05191463599215,5027.72810102979,18.0845419172267
2019-07-19,10638.56,134.47,-12.0772898949578,0.703961656556573,4408.43751324321,18.9158118146445
2019-07-26,9772.17,133.64,-8.14386533515814,-0.617238045660751,4041.27643344493,18.1818181818181
2019-08-02,10407.17,135.89,6.49804495828459,1.6836276563903,4310.37843793702,20.1715599575521
2019-08-09,11960.82,141.26,14.9286501517704,3.95172566046067,4968.78840530576,24.9204103289706
2019-08-16,10302.17,142.78,-13.8673602645972,1.07603001557413,4265.88125609187,26.2645914396887
2019-08-23,10129.4,144.17,-1.67702532573235,0.973525703880096,4192.66432173581,27.4938096922532
2019-08-30,9484.55,143.75,-6.36612237644876,-0.291322743982791,3919.38805780395,27.1223912274496
2019-09-06,10584.16,141.94,11.5936971179444,-1.25913043478261,4385.38373522058,25.5217545100813
2019-09-13,10420.16,140.15,-1.54948526855225,-1.26109623784697,4315.88337500529,23.9388043862752
2019-09-20,10157.59,142.95,-2.51982695083377,1.99785943631823,4204.61075560452,26.4149274849664
2019-09-27,8055.64,141.06,-20.6933928225101,-1.32214060860439,3313.84074246726,24.7435443933499
2019-10-04,8382.03,141.9,4.05169545808899,0.595491280306248,3452.1591727762,25.4863813229572
2019-10-11,8586.9,140.03,2.44415732227157,-1.31782945736434,3538.97953129635,23.8326848249027
2019-10-18,8002.51,140.46,-6.80559922672908,0.307077054916816,3291.32516845361,24.2129465864874
2019-10-25,7431.88,141.86,-7.13063776240205,0.996725046276525,3049.50205534602,25.451008135833
2019-11-01,9164.62,142.56,23.3149620284504,0.493444240800778,3783.80726363521,26.0700389105058
2019-11-08,9204.24,137.39,0.432314705901593,-3.62654320987655,3800.59753358477,21.4980544747082
2019-11-15,8762.42,138.21,-4.80017904791704,0.596841109251045,3613.36186803407,22.2232048107534
2019-11-22,7617.07,137.74,-13.0711607067454,-0.340062224151649,3127.98237064033,21.8075698620446
2019-11-29,7523.83,137.86,-1.22409272856886,0.0871206621170462,3088.46887316184,21.9136894234171
2019-12-06,7395.97,137.62,-1.69940043834057,-0.174089656172938,3034.28401915497,21.7014503006721
2019-12-13,7202.31,139.05,-2.61845302238922,1.03909315506467,2952.21426452515,22.9660417403608
2019-12-20,7150.86,139.52,-0.714354144711915,0.338007910823435,2930.41064542103,23.3816766890697
2019-12-27,7192.72,142.33,0.585384135614464,2.01404816513762,2948.15018858329,25.8666430845419
2020-01-03,6944.33,145.86,-3.4533528345327,2.48015175999439,2842.88680764504,28.988326848249
2020-01-10,8042.65,146.91,15.8160686488113,0.719868366927168,3308.33580539899,29.9168730102582
2020-01-17,8722.03,146.58,8.44721578086827,-0.224627322850712,3596.24528541764,29.6250442164839
2020-01-24,8658.94,147.98,-0.723340781905135,0.955109837631318,3569.50883586896,30.8631057658295
2020-01-31,9502.37,149.33,9.74056870702418,0.912285443978922,3926.9398652371,32.0569508312699
2020-02-07,9614.9,147.79,1.18423088134854,-1.03127301948706,3974.62813069458,30.6950831269897
2020-02-14,10242.43,149,6.52664094270352,0.81872927802964,4240.5644785354,31.7651220374956
2020-02-21,9604.72,154.7,-6.22615922198151,3.82550335570468,3970.31402296902,36.8058012026883
2020-02-28,8804.72,148.38,-8.32923812458874,-4.08532643826761,3631.2878755774,31.2168376370711
2020-03-06,8758.9,157.55,-0.520402693100974,6.18007817765198,3611.87015298555,39.3261407852847
2020-03-13,4830.21,143.28,-44.853691673612,-9.05744208187878,1946.95935924058,26.7067562787407
2020-03-20,5410.23,140.11,12.0081735576714,-2.21245114461194,2192.76179175319,23.903431199151
2020-03-27,6763.75,152.25,25.0177903712042,8.66462065519949,2766.36013052506,34.6391934913335
2020-04-03,6652.87,152.65,-1.63932729624838,0.262725779967155,2719.37110649659,34.9929253625751
2020-04-10,7293.69,158.69,9.63223390807275,3.95676383884702,2990.93952621096,40.3342766183233
2020-04-17,6623.8,158.57,-9.18451428563594,-0.0756191316403032,2707.05174386574,40.2281570569508
2020-04-24,7477.6,162.64,12.8898819408799,2.5666897899981,3068.87739966945,43.8273788468341
2020-05-01,8777.63,159.78,17.3856585000535,-1.75848499754058,3619.80760266135,41.2981959674566
2020-05-08,10002.48,160.42,13.9542222672863,0.400550757291263,4138.87782345213,41.8641669614431
2020-05-15,9305.93,163.93,-6.96377298429989,2.18800648298219,3843.69199474509,44.9681641315882
2020-05-22,9057.57,163.21,-2.66883589281244,-0.43921185872019,3738.44132728736,44.3314467633533
2020-05-29,9197.54,162.91,1.54533721516921,-0.183812266405248,3797.75818960037,44.0661478599221
2020-06-05,9794.56,158.01,6.49108348536673,-3.0077957154257,4050.76492774505,39.7329324372125
2020-06-12,9892.13,162.62,0.996165218243594,2.9175368647554,4092.1134042463,43.8096922532719
2020-06-19,9380.03,164.03,-5.17684260113846,0.867052023121384,3875.09429164724,45.0565970993986
2020-06-26,9276.58,166.54,-1.10287493750021,1.53020788880083,3831.25397296266,47.2762645914396
2020-07-03,9087.98,166.98,-2.03307684513043,0.264200792602387,3751.32855871509,47.6653696498054
2020-07-10,9440.07,169.19,3.87423827957367,1.32351179782011,3900.53820400898,49.6197382384152
2020-07-17,9131,170.12,-3.27402233246151,0.549677876943089,3769.55968979107,50.442164839052
2020-07-24,9537.4,178.7,4.45077209506077,5.04349870679519,3941.78497266601,58.0297134771842
2020-07-31,11114.93,185.43,16.540461761067,3.76608841634025,4610.31487053439,63.9812522108242
2020-08-07,11750.28,190.81,5.71618534709621,2.90136439626814,4879.56519896597,68.7389458790237
2020-08-14,11777.43,182.54,0.231058323716549,-4.33415439442377,4891.07089884307,61.4255394411036
2020-08-21,11734,182.03,-0.36875617176243,-0.279390818450742,4872.66601686655,60.9745313052706
